Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
3803,edb,Multicare Aub MC,T,Hospital (Hospital) - Multicare Auburn Medical Center,Hospital,Hospital
3805,edd,SEA Childrens,T,Hospital (Hospital) - Seattle Children’s,Hospital,Hospital
3809,ee1,Evergreen Hosp,T,Hospital (Hospital) - Evergreen,Hospital,Hospital
3811,ee3,Unkn Hosp,D,Hospital (Hospital) - *UNKNOWN/TBD*,Hospital,Hospital
3815,ee7,UWMC Harborview,D,Hospital (Hospital) - Harborview Medical Center,Hospital,Hospital
3817,ee9,St Anne Hosp,T,Hospital (Hospital) - VHFM - St. Anne Hospital - Burien,Hospital,Hospital
3819,eeb,UWMC NW Hosp,T,Hospital (Hospital) - UWMC Northwest Hospital - Seattle,Hospital,Hospital
3821,eed,Overlake Hosp,T,Hospital (Hospital) - Overlake Hospital - Bellevue,Hospital,Hospital
3827,ef3,Snoq Valley Hosp,D,Hospital (Hospital) - Snoqualmie Valley Hospital ,Hospital,Hospital
3829,ef5,St Francis FedWa,D,Hospital (Hospital) - VMFH St. Francis Federal Way ,Hospital,Hospital
3831,ef7,Ballard Swed Hos,T,Hospital (Hospital) - Ballard Swedish,Hospital,Hospital
3833,ef9,Swed Seattle,D,Hospital (Hospital) - Swedish - Seattle,Hospital,Hospital
3835,efb,UW Med Cntr,T,Hospital (Hospital) - UW Medical Center,Hospital,Hospital
3837,efd,VA Seattle,D,Hospital (Hospital) - VA Seattle,Hospital,Hospital
3839,eff,Vly Med Ctr Rent,T,Hospital (Hospital) - Valley Medical Center Renton,Hospital,Hospital
3841,f01,VMFH - Seattle,T,Hospital (Hospital) - Virginia Mason Seattle,Hospital,Hospital
3855,f0f,Hosp Common,T,Hospital (Hospital) - Hospital Common,Hospital,Hospital
3857,f11,PS BlodCntrs,T,Businesses (Business) - Puget Sound Blood Centers,Business,Businesses
3873,f21,DPH OPS 3,T,King County (Other) - King County Dept Public Health,Other,King County
3875,f23,DPH OPS 2,T,King County (Other) - King County Dept Public Health,Other,King County
3877,f25,DPH OPS 1,T,King County (Other) - King County Dept Public Health,Other,King County
3879,f27,DPH COMMO,T,King County (Other) - King County Dept Public Health,Other,King County
3901,f3d,Interop 9,T,King County (Interop) - King County Interop 9,Interop,King County
3903,f3f,Interop 10,T,King County (Interop) - King County Interop 10,Interop,King County
3905,f41,Interop 12,T,King County (Interop) - King County Interop 12,Interop,King County
3907,f43,Interop 13,T,King County (Interop) - King County Interop 13,Interop,King County
3909,f45,Interop 15,T,King County (Interop) - King County Interop 15,Interop,King County
3913,f49,Interop 8,T,King County (Interop) - King County Interop 8,Interop,King County
3915,f4b,Emer Z1,T,NORCOM (Fire-Tac) - Fire Zone 1 Emergency Button Talk Group,Fire-Tac,NORCOM
3917,f4d,Interop 11,T,King County (Interop) - King County Interop 11,Interop,King County
3919,f4f,Emer Z3,T,Valley Communications (Fire-Tac) - Fire Zone 3 Emergency Button Talkgroup,Fire-Tac,Valley Communications
3921,f51,Interop 14,T,King County (Interop) - King County Interop 14,Interop,King County
3925,f55,PSAP to PSAP,T,King County (Interop) - Public Safety Answering Point Common,Interop,King County
3929,f59,L.E.R.N.,T,King County (Interop) - Law Enforcement Radio Network,Interop,King County
3931,f5b,M.A.R.S.,T,King County (Interop) - King County Mutual Aid Radio System,Interop,King County
3933,f5d,Interop 6,T,King County (Interop) - King County Interop 6,Interop,King County
